lex	sem
etoposide_lex	Chemical
methotrexate_lex	Chemical
actomycind_lex	Chemical
cisplatin_lex	Chemical
pulmonary_obstruction_lex	Disease
tumor_lex	Disease
necrosis_lex	Disease
embolism_lex	Disease
pelvic_tumor_lex	Disease
sexual_dysfunction_lex	Disease
arthritis_lex	Disease
rheumatoid_arthritis_lex	Disease
osteoarthritis_lex	Disease
spondyloarthropathy_lex	Disease
depressed_mood_lex	Disease
sexual_dysfunctions_lex	Disease
impotence_lex	Disease
paracetamol_lex	Chemical
urothelial_cancer_lex	Disease
renal_papillary_necrosis_lex	Disease
phenacetin_lex	Chemical
ureteric_cancer_lex	Disease
cancers_lex	Disease
cancer_of_the_ureter_lex	Disease
dapsone_lex	Chemical
hemolytic_anemia_lex	Disease
leprosy_lex	Disease
hemolysis_lex	Disease
glutathione_lex	Chemical
gsh_lex	Chemical
pentose_phosphate_lex	Chemical
infection_lex	Disease
metoprolol_lex	Chemical
propafenone_lex	Chemical
diltiazem_lex	Chemical
sparteine_lex	Chemical
coronary_artery_disease_lex	Disease
shock_lex	Disease
av_block_lex	Disease
impairment_of_ventricular_function_lex	Disease
debrisoquine_lex	Chemical
adverse_drug_reactions_lex	Disease
triazolam_lex	Chemical
mania_lex	Disease
depressed_lex	Disease
organic_mental_disorder_lex	Disease
delirium_lex	Disease
manic_lex	Disease
triazolo_lex	Chemical
muscular_rigidity_lex	Disease
morphine_lex	Chemical
rigidity_lex	Disease
akinetic_lex	Disease
hyperkinetic_lex	Disease
haloperidol_lex	Chemical
pentazocine_lex	Chemical
fibrous_myopathy_lex	Disease
compression_neuropathy_lex	Disease
myopathy_lex	Disease
acute_renal_failure_lex	Disease
amphotericin_lex	Chemical
cirrhosis_lex	Disease
sporotrichosis_lex	Disease
amphotericin_b_lex	Chemical
renal_dysfunction_lex	Disease
neuropathy_lex	Disease
amiodarone_lex	Chemical
sinuatrial_disease_lex	Disease
supraventricular_tachyarrhythmias_lex	Disease
pneumonitis_lex	Disease
proximal_motor_neuropathy_lex	Disease
prednisolone_lex	Chemical
steroid_lex	Chemical
indomethacin_lex	Chemical
renal_insufficiency_lex	Disease
hyperkalemia_lex	Disease
ascites_lex	Disease
cor_pulmonale_lex	Disease
oliguria_lex	Disease
prostaglandins_lex	Chemical
flunitrazepam_lex	Chemical
dizziness_lex	Disease
timolol_lex	Chemical
bradycardia_lex	Disease
cardiomegaly_lex	Disease
infarction_lex	Disease
vitamin_d3_lex	Chemical
hypercalcemia_lex	Disease
hyperphosphatemia_lex	Disease
calcium_lex	Chemical
milk_fever_lex	Disease
diseases_of_peripheral_nerves_lex	Disease
peripheral_nerve_disease_lex	Disease
sensorimotor_neuropathy_lex	Disease
guillainbarr_syndrome_lex	Disease
motor_neuropathy_lex	Disease
peripheral_neuropathy_lex	Disease
nutritional_deficiency_lex	Disease
thiamine_lex	Chemical
riboflavin_lex	Chemical
diabetes_mellitus_lex	Disease
autonomic_neuropathy_lex	Disease
isoniazid_lex	Chemical
cranial_neuropathy_lex	Disease
malignancies_lex	Disease
connective_tissue_disorders_lex	Disease
neuropathies_lex	Disease
dothiepin_hydrochloride_lex	Chemical
depressive_disorder_lex	Disease
dothiepin_lex	Chemical
amitriptyline_lex	Chemical
depressive_illness_lex	Disease
blurred_vision_lex	Disease
dry_mouth_lex	Disease
diazepam_lex	Chemical
propranolol_lex	Chemical
panic_disorder_lex	Disease
agoraphobia_lex	Disease
panic_disorders_lex	Disease
impaired_immediate_free_recall_lex	Disease
delayed_free_recall_was_also_impaired_lex	Disease
behavioral_impairment_lex	Disease
aspirin_lex	Chemical
n45nitro2furyl2thiazolylformamide_lex	Chemical
fanft_lex	Chemical
bladder_carcinomas_lex	Disease
forestomach_tumors_lex	Disease
carcinogenesis_lex	Disease
diabetic_autonomic_neuropathy_lex	Disease
diabetic_lex	Disease
estrogen_lex	Chemical
adenohypophyseal_tumors_lex	Disease
pituitary_tumors_lex	Disease
diethylstilbestrol_lex	Chemical
des_lex	Chemical
acriflavine_lex	Chemical
triamterene_lex	Chemical
nephrolithiasis_lex	Disease
dyazide_lex	Chemical
hydrochlorothiazidetriamterene_lex	Chemical
uric_acid_salts_lex	Chemical
adriamycin_lex	Chemical
cardiotoxicity_lex	Disease
cardiotoxic_lex	Disease
phosphorylcreatine_lex	Chemical
phophorylcreatine_lex	Chemical
creatine_lex	Chemical
adenosine_lex	Chemical
atp_lex	Chemical
neurotoxic_lex	Disease
streptomycin_lex	Chemical
abnormal_movements_lex	Disease
deafness_lex	Disease
dyskinesias_lex	Disease
glomerulonephritis_lex	Disease
rifampin_lex	Chemical
pulmonary_tuberculosis_lex	Disease
puromycin_aminonucleoside_lex	Chemical
oxygen_lex	Chemical
pan_lex	Chemical
thiobarbituric_acid_lex	Chemical
proteinuric_injury_lex	Disease
clomipramine_lex	Chemical
sleep_disturbance_lex	Disease
angioedema_lex	Disease
pulmonary_edema_lex	Disease
chest_pain_lex	Disease
myocardial_infarctions_lex	Disease
lisinopril_lex	Chemical
steroids_lex	Chemical
diphenhydramine_lex	Chemical
coniine_lex	Chemical
arthrogryposis_lex	Disease
nicotine_lex	Chemical
deformations_lex	Disease
excessive_flexion_or_extension_of_one_or_more_toes_lex	Disease
cranial_hemorrhage_lex	Disease
prostaglandin_e1_lex	Chemical
trimethaphan_lex	Chemical
pge1_lex	Chemical
tmp_lex	Chemical
isoflurane_lex	Chemical
axonal_damage_lex	Disease
axonal_injury_lex	Disease
injury_in_the_cortex_lex	Disease
lactate_lex	Chemical
infarcts_in_substantia_nigra_pars_reticulata_lex	Disease
pilocarpine_lex	Chemical
status_epilepticus_lex	Disease
traumatic_lex	Disease
parkinson_disability_lex	Disease
fluoxetine_lex	Chemical
parkinsons_disease_lex	Disease
motor_disability_lex	Disease
idiopathic_parkinsons_disease_lex	Disease
dopamine_lex	Chemical
acetaminophen_lex	Chemical
cardiovascular_toxicities_lex	Disease
anaphylaxis_lex	Disease
critically_ill_lex	Disease
allergic_reactions_lex	Disease
autoimmune_hemolytic_anemia_lex	Disease
erythroblastocytopenia_lex	Disease
ceftriaxone_lex	Chemical
beta_lactam_lex	Chemical
bilirubin_lex	Chemical
extrapyramidal_symptoms_lex	Disease
eps_lex	Disease
orthostatic_hypotension_lex	Disease
seizure_lex	Disease
clozapine_lex	Chemical
agranulocytosis_lex	Disease
tetrandrine_lex	Chemical
fangchinoline_lex	Chemical
thrombosis_lex	Disease
platelet_aggregation_lex	Disease
tet_lex	Chemical
fan_lex	Chemical
bisbenzylisoquinoline_lex	Chemical
ep_lex	Chemical
blood_coagulation_lex	Disease
acetylsalicylic_acid_lex	Chemical
asa_lex	Chemical
platelet_aggregations_lex	Disease
gemcitabine_lex	Chemical
vinorelbine_lex	Chemical
nonsmall_cell_lung_carcinoma_lex	Disease
nsclc_lex	Disease
vnb_lex	Chemical
gem_lex	Chemical
neutropenia_lex	Disease
thrombocytopenia_lex	Disease
neurotoxicity_lex	Disease
myelosuppression_lex	Disease
warfarin_lex	Chemical
artery_calcification_lex	Disease
vitamin_d_lex	Chemical
calcification_lex	Disease
calcification_of_the_artery_lex	Disease
phosphate_lex	Chemical
vitamin_k_lex	Chemical
gammacarboxylated_lex	Chemical
gammacarboxyglutamate_lex	Chemical
bipolar_lex	Disease
antidepressants_lex	Chemical
bipolar_depression_lex	Disease
bipolar_disorder_lex	Disease
hypomanic_lex	Disease
dsmiv_bipolar_i_lex	Disease
bipolar_ii_lex	Disease
serotonin_reuptake_inhibitors_lex	Chemical
ssris_lex	Chemical
hypomania_lex	Disease
bipolar_i_lex	Disease
caffeine_lex	Chemical
cardiac_arrhythmia_lex	Disease
mitral_valve_prolapse_lex	Disease
ventricular_fibrillation_lex	Disease
retention_of_urine_lex	Disease
fentanyl_lex	Chemical
chest_wall_rigidity_lex	Disease
respiratory_depression_lex	Disease
urinary_bladder_retention_lex	Disease
hydronephrosis_lex	Disease
cardiomyopathy_lex	Disease
aids_lex	Disease
cm_lex	Disease
la_lex	Chemical
mitochondrial_dysfunction_lex	Disease
zidovudine_lex	Chemical
lamivudine_lex	Chemical
indinavir_lex	Chemical
oral_contraceptives_lex	Chemical
progestagen_lex	Chemical
desogestrel_lex	Chemical
gestodene_lex	Chemical
levonorgestrel_lex	Chemical
oralcontraceptive_lex	Chemical
oral_contraceptive_lex	Chemical
locomotor_hyperactivity_lex	Disease
gr_fifty-five thousand, five hundred and sixty-two_lex	Chemical
cp_ninety-three thousand, one hundred and twenty-nine_lex	Chemical
hyperlocomotion_lex	Disease
ticlopidine_lex	Chemical
jaundice_lex	Disease
cholestasis_lex	Disease
clopidogrel_lex	Chemical
nephrotic_syndrome_lex	Disease
no_lex	Chemical
calcitonin_generelated_peptide_lex	Chemical
cgrp_lex	Chemical
serotonin_lex	Chemical
5hydroxytriptamine_lex	Chemical
5ht_lex	Chemical
headache_lex	Disease
migraineurs_without_aura_lex	Disease
coronary_aneurysm_lex	Disease
paclitaxel_lex	Chemical
aneurysm_lex	Disease
vessel_rupture_lex	Disease
urotensinii_lex	Chemical
uii_lex	Chemical
apomorphine_lex	Chemical
penile_erection_lex	Disease
corticosterone_lex	Chemical
psychiatric_disorders_lex	Disease
dysphonia_lex	Disease
acitretin_lex	Chemical
tissue_injury_lex	Disease
secondary_hyperalgesia_lex	Disease
neurogenic_hyperalgesia_lex	Disease
neuropathic_pain_lex	Disease
hyperalgesia_lex	Disease
gabapentin_lex	Chemical
capsaicin_lex	Chemical
mdma_lex	Chemical
impaired_social_and_emotional_judgement_processes_lex	Disease
memory_deficits_lex	Disease
34methylenedioxymethamphetamine_lex	Chemical
ecstasy_lex	Chemical
citrate_lex	Chemical
hyperlipidemia_lex	Disease
bumetanide_lex	Chemical
pravastatin_lex	Chemical
paroxetine_lex	Chemical
tetany_lex	Disease
calcium_gluconate_lex	Chemical
muscle_contractions_lex	Disease
sodium_citrate_lex	Chemical
hypocalcemia_lex	Disease
loop_diuretic_lex	Chemical
sirolimus_lex	Chemical
srl_lex	Chemical
chronic_allograft_nephropathy_lex	Disease
can_lex	Disease
neoplasia_lex	Disease
kaposis_sarcoma_lex	Disease
skin_cancers_lex	Disease
intestinal_tumors_lex	Disease
renal_cell_carsinom_lex	Disease
nephrotic_lex	Disease
membranoproliferative_glomerulopathy_lex	Disease
interstitial_nephritis_lex	Disease
cystitis_lex	Disease
atropine_lex	Chemical
alphabetamethylene_adenosine5triphosphate_lex	Chemical
alphabetameatp_lex	Chemical
4diphenylacetoxynmethylpiperidine_lex	Chemical
4damp_lex	Chemical
methoctramine_lex	Chemical
pirenzepine_lex	Chemical
carbachol_lex	Chemical
potassium_lex	Chemical
isoprenaline_lex	Chemical
bzds_lex	Chemical
oxazepam_lex	Chemical
temazepam_lex	Chemical
zopiclone_lex	Chemical
dementia_lex	Disease
inability_to_sleep_lex	Disease
tiredness_lex	Disease
depressive_symptoms_lex	Disease
vocal_fold_palsy_lex	Disease
disulfiram_lex	Chemical
overdose_lex	Disease
quadriparesis_lex	Disease
sensory_loss_lex	Disease
paresthesia_lex	Disease
alcohol_lex	Chemical
ataxia_lex	Disease
giddiness_lex	Disease
hoarseness_lex	Disease
polyneuropathy_lex	Disease
palsy_lex	Disease
heparin_lex	Chemical
hit_lex	Disease
thrombotic_lex	Disease
retinal_vein_occlusion_lex	Disease
clomiphene_lex	Chemical
clomiphene_citrate_lex	Chemical
cc_lex	Chemical
infertility_lex	Disease
thromboembolic_lex	Disease
visual_disturbance_lex	Disease
nystagmus_lex	Disease
nin_lex	Disease
verapamil_lex	Chemical
gastric_hemorrhagic_lex	Disease
ulcers_lex	Disease
atherosclerotic_lex	Disease
gastric_hemorrhage_lex	Disease
histamine_lex	Chemical
ulcer_lex	Disease
atherosclerosis_lex	Disease
vitamin_d2_lex	Chemical
cholesterol_lex	Chemical
luminal_lex	Chemical
hemorrhagic_lex	Disease
heart_failure_lex	Disease
3methyladenine_lex	Chemical
3ma_lex	Chemical
k_lex	Chemical
confusion_lex	Disease
valproic_acid_lex	Chemical
cannabis_lex	Chemical
hyperactivity_lex	Disease
argatroban_lex	Chemical
hitt_lex	Disease
hepatic_impairment_lex	Disease
coagulopathy_lex	Disease
antituberculosis_lex	Chemical
acute_liver_failure_lex	Disease
alf_lex	Disease
hepatitis_virus_infection_lex	Disease
tuberculosis_lex	Disease
icterus_lex	Disease
encephalopathy_lex	Disease
cerebral_edema_lex	Disease
gastrointestinal_bleed_lex	Disease
hepatitis_e_lex	Disease
central_nervous_system_complications_lex	Disease
acute_lymphoblastic_leukemia_lex	Disease
central_nervous_system_cns_complications_lex	Disease
all_lex	Disease
neurological_complications_lex	Disease
leukemic_infiltration_lex	Disease
neurocognitive_defects_lex	Disease
leukoencephalopathy_lex	Disease
stroke_lex	Disease
temporal_lobe_epilepsy_lex	Disease
inappropriate_antidiuretic_hormone_secretion_lex	Disease
capecitabine_lex	Chemical
fluoropyrimidines_lex	Chemical
5fluorouracil_lex	Chemical
5fu_lex	Chemical
tumors_lex	Disease
renal_and_kidney_disease_lex	Disease
diarrhea_lex	Disease
vomiting_lex	Disease
stomatitis_lex	Disease
handfoot_syndrome_lex	Disease
neurotensin_lex	Chemical
parkinsonian_catalepsy_lex	Disease
parkinsonian_symptoms_lex	Disease
neurotensin_type1_receptor_antagonist_lex	Chemical
sr48692_lex	Chemical
psychiatric_lex	Disease
depressions_lex	Disease
methyl_dopa_lex	Chemical
sodium_nitroprusside_lex	Chemical
h2o_lex	Chemical
decrease_in_arterial_blood_pressure_lex	Disease
decreased_cardiac_output_lex	Disease
decreases_in_arterial_blood_pressure_lex	Disease
ldopa_lex	Chemical
mk486_lex	Chemical
mao_lex	Chemical
dlthreodihydroxyphenylserine_lex	Chemical
fla63_lex	Chemical
pimozide_lex	Chemical
5htp_lex	Chemical
acute_myocardial_infarction_lex	Disease
atherosclerotic_obstruction_lex	Disease
coronary_occlusion_lex	Disease
spasm_lex	Disease
thrombus_lex	Disease
rabbit_syndrome_lex	Disease
imipramine_lex	Chemical
decreased_basal_ganglia_perfusion_lex	Disease
movement_disorder_lex	Disease
ipratropium_bromide_lex	Chemical
theophylline_lex	Chemical
chronic_obstructive_pulmonary_disease_lex	Disease
ipratropium_lex	Chemical
chronic_airflow_obstruction_lex	Disease
rpn_lex	Disease
polyuria_lex	Disease
hyperthermia_lex	Disease
toxicities_lex	Disease
leukopenia_lex	Disease
prazosin_lex	Chemical
stress_incontinence_lex	Disease
incontinence_lex	Disease
isosorbide_dinitrate_lex	Chemical
myocardial_ischemia_lex	Disease
coronary_arterial_stenosis_lex	Disease
acute_coronary_insufficiency_lex	Disease
akathisia_lex	Disease
obsessive_compulsive_disorder_lex	Disease
major_depression_lex	Disease
anxiety_lex	Disease
chronic_active_hepatitis_lex	Disease
diclofenac_sodium_lex	Chemical
voltarol_lex	Chemical
phenylacetic_acid_lex	Chemical
abnormalities_of_liver_function_lex	Disease
diclofenac_lex	Chemical
intracranial_aneurysms_lex	Disease
arteriovenous_malformations_lex	Disease
cerebral_vasculitis_lex	Disease
cerebral_infarction_lex	Disease
intracerebral_hemorrhage_lex	Disease
subarachnoid_hemorrhage_lex	Disease
intracranial_hemorrhage_lex	Disease
glyburide_lex	Chemical
sulfonylureas_lex	Chemical
sulfonylurea_lex	Chemical
type_ii_diabetes_mellitus_lex	Disease
acute_hepatitislike_syndrome_lex	Disease
viral_infection_lex	Disease
druginduced_hepatitis_lex	Disease
acute_hepatitislike_illness_lex	Disease
hemorrhage_lex	Disease
hem_lex	Disease
snp_lex	Chemical
hypovolemia_lex	Disease
sodium_pentothal_lex	Chemical
cerebral_ischaemia_lex	Disease
vasospasm_lex	Disease
gangrene_lex	Disease
cerebral_aneurysms_lex	Disease
cerebral_aneurysm_lex	Disease
subarachnoid_haemorrhage_lex	Disease
xenon_lex	Chemical
nitrous_oxide_lex	Chemical
hg_lex	Chemical
allergic_reaction_lex	Disease
angioneurotic_edema_lex	Disease
carcinoma_of_the_oral_cavity_lex	Disease
impaired_renal_function_lex	Disease
prednisone_lex	Chemical
sinoatrial_block_lex	Disease
primary_cardiomyopathy_lex	Disease
wolffparkinsonwhite_syndrome_lex	Disease
supraventricular_tachycardia_lex	Disease
sinus_bradycardia_lex	Disease
sulphasalazine_lex	Chemical
congenital_anomalies_lex	Disease
ulcerative_colitis_lex	Disease
coarctation_of_the_aorta_lex	Disease
ventricular_septal_defect_lex	Disease
pottertype_iia_polycystic_kidney_lex	Disease
rudimentary_left_uterine_cornu_lex	Disease
potters_facies_lex	Disease
hypoplastic_lungs_lex	Disease
absent_kidneys_and_ureters_lex	Disease
talipes_equinovarus_lex	Disease
venoocclusive_liver_disease_lex	Disease
dacarbazine_lex	Chemical
dtic_lex	Chemical
melanoma_lex	Disease
venoocclusive_disease_of_the_liver_lex	Disease
venous_congestion_lex	Disease
metoclopramide_lex	Chemical
abnormal_involuntary_movements_lex	Disease
gastrointestinal_disorder_lex	Disease
intrahisian_block_lex	Disease
atrial_tachycardia_lex	Disease
intraventricular_conduction_abnormalities_lex	Disease
atrial_flutter_lex	Disease
busulfan_lex	Chemical
carcinoma_lex	Disease
saralasin_lex	Chemical
halothane_lex	Chemical
angiotensin_ii_lex	Chemical
increase_in_blood_pressure_lex	Disease
toxic_hepatitis_lex	Disease
carbimazole_lex	Chemical
benzylthiouracil_lex	Chemical
hepatic_adverse_effects_lex	Disease
hyperthyroidism_lex	Disease
n_omercazole_lex	Chemical
cholestatic_lex	Disease
basd_ne_lex	Chemical
vitamin_b12_lex	Chemical
folinic_acid_lex	Chemical
zdv_lex	Chemical
bone_marrow_suppression_lex	Disease
human_immunodeficiency_virus_hivinfected_lex	Disease
myelotoxicity_lex	Disease
cisplatinum_lex	Chemical
gastric_adenocarcinoma_lex	Disease
disorientation_lex	Disease
irritability_lex	Disease
coma_lex	Disease
fluoroacetate_lex	Chemical
fluorocitrate_lex	Chemical
dihydrouracil_lex	Chemical
oxcarbazepine_lex	Chemical
organic_psychotic_lex	Disease
chlorpromazine_lex	Chemical
erythema_multiforme_lex	Disease
hypersensitivity_myocarditis_lex	Disease
ampicillin_lex	Chemical
gentamicin_lex	Chemical
septicemia_lex	Disease
congestive_heart_failure_lex	Disease
myocarditis_lex	Disease
methylprednisolone_lex	Chemical
infections_lex	Disease
druginduced_allergic_reaction_lex	Disease
allergy_lex	Disease
penicillins_lex	Chemical
amoxicillin_lex	Chemical
betalactam_lex	Chemical
allergic_lex	Disease
ax_lex	Chemical
penicillin_lex	Chemical
benzylpenicilloylpolyllysine_lex	Chemical
bpopll_lex	Chemical
benzylpenicilloate_lex	Chemical
benzylpenicillin_lex	Chemical
pg_lex	Chemical
amp_lex	Chemical
bpo_lex	Chemical
urticaria_lex	Disease
mdm_lex	Disease
atracurium_lex	Chemical
vecuronium_bromide_lex	Chemical
atracurium_besylate_lex	Chemical
benzylisoquinolinium_lex	Chemical
endstage_renal_disease_lex	Disease
esrd_lex	Disease
nephrotoxic_lex	Disease
heparan_sulphate_lex	Chemical
streptozotocin_lex	Chemical
diabetic_nephropathy_lex	Disease
diabetes_lex	Disease
cuprolinic_blue_lex	Chemical
glycosaminoglycan_lex	Chemical
albuminuria_lex	Disease
renal_toxicity_lex	Disease
nitrogranulogen_lex	Chemical
ng_lex	Chemical
mtx_lex	Chemical
cy_lex	Chemical
nephrotoxicity_lex	Disease
cognitive_and_functional_deficits_lex	Disease
divalproex_sodium_lex	Chemical
tremor_lex	Disease
cognitive_deficits_lex	Disease
loss_of_creativity_lex	Disease
functional_impairments_lex	Disease
cognitive_and_functional_impairments_lex	Disease
cognitive_motivational_or_creative_deficits_lex	Disease
breast_cancer_lex	Disease
mitoxantrone_lex	Chemical
leucovorin_lex	Chemical
mfl_lex	Chemical
mfl_regimen_lex	Chemical
anthracycline_lex	Chemical
impaired_heart_function_lex	Disease
vasopressin_lex	Chemical
diabetes_insipidus_lex	Disease
arginine_vasopressin_lex	Chemical
avp_lex	Chemical
licl_lex	Chemical
dehydration_lex	Disease
cardiac_arrest_lex	Disease
hyperkalaemia_lex	Disease
meningitis_lex	Disease
hypersensitivity_lex	Disease
mepivacaine_lex	Chemical
adrenaline_lex	Chemical
atrial_fibrillation_lex	Disease
agitation_lex	Disease
incomprehensible_shouts_lex	Disease
loss_of_consciousness_lex	Disease
dupuytrens_contracture_lex	Disease
midazolam_lex	Chemical
tacrolimus_lex	Chemical
fk506_lex	Chemical
iga_nephropathy_lex	Disease
focal_segmental_glomerulosclerosis_lex	Disease
interstitial_fibrosis_lex	Disease
pg9_lex	Chemical
3alphatropyl_2pbromophenylpropionate_lex	Chemical
amnesia_lex	Disease
set126_lex	Chemical
ace_inhibitors_lex	Chemical
angiotensinconverting_enzyme_ace_inhibitor_lex	Chemical
respiratory_arrest_lex	Disease
desaturation_lex	Disease
neuromuscular_blockade_lex	Disease
venous_thromboembolism_lex	Disease
vte_lex	Disease
oc_lex	Chemical
aggressive_behavior_lex	Disease
aggressiveness_lex	Disease
serotonergic_antidepressants_lex	Chemical
urinary_incontinence_lex	Disease
venlafaxine_lex	Chemical
sertraline_lex	Chemical
lithium_carbonate_lex	Chemical
tizanidine_lex	Chemical
spasticity_lex	Disease
disorders_of_the_central_nervous_system_lex	Disease
kidney_disease_lex	Disease
transplant_glomerulopathy_lex	Disease
tg_lex	Disease
glomerulopathies_lex	Disease
thrombotic_microangiopathy_lex	Disease
malignant_hypertension_lex	Disease
acute_tubular_necrosis_lex	Disease
lupus_nephritis_lex	Disease
henochschonlein_nephritis_lex	Disease
kidney_diseases_lex	Disease
endothelial_injury_lex	Disease
immunologic_injury_lex	Disease
bd1008_lex	Chemical
oligodeoxynucleotide_lex	Chemical
bd1018_lex	Chemical
3s1234dichlorophenylethyl14diazabicyclo430nonane_lex	Chemical
bd1063_lex	Chemical
1234dichlorophenylethyl4methylpiperazine_lex	Chemical
lr132_lex	Chemical
gaba_lex	Chemical
nmda_lex	Chemical
convulsions_lex	Disease
diotolylguanidine_lex	Chemical
dtg_lex	Chemical
bd1031_lex	Chemical
3r1234dichlorophenylethyl14diazabicyclo430nonane_lex	Chemical
convulsive_lex	Disease
e4031_lex	Chemical
cisapride_lex	Chemical
terfenadine_lex	Chemical
terodiline_lex	Chemical
torsades_de_pointes_lex	Disease
tdp_lex	Disease
ventricular_tachycardia_lex	Disease
myeloencephalopathy_lex	Disease
vincristin_lex	Chemical
vincristine_lex	Chemical
acute_lymphoblastic_leucemia_lex	Disease
lymphoblastic_lymphoma_lex	Disease
pseudocystic_transformation_lex	Disease
prochlorperazine_lex	Chemical
antithymocyte_globulin_lex	Chemical
dpenicillamine_lex	Chemical
aplastic_anemia_lex	Disease
ethanol_lex	Chemical
neostigmine_lex	Chemical
ach_lex	Chemical
convulsion_lex	Disease
kcl_lex	Chemical
convulsants_lex	Disease
dexamethasone_lex	Chemical
renal_injury_lex	Disease
reduction_in_glomerular_number_lex	Disease
elevated_blood_pressures_lex	Disease
cyproterone_acetate_lex	Chemical
ethinyl_estradiol_lex	Chemical
cpa_lex	Chemical
ee_lex	Chemical
acne_lex	Disease
hirsutism_lex	Disease
polycystic_ovary_syndrome_lex	Disease
pcos_lex	Disease
pseudoacromegaly_lex	Disease
minoxidil_lex	Chemical
acromegaly_lex	Disease
endocrine_disorder_lex	Disease
hypertrophy_lex	Disease
cutis_verticis_gyrata_lex	Disease
anemia_lex	Disease
prostate_cancer_lex	Disease
prostatic_adenocarcinoma_lex	Disease
leuprolide_acetate_lex	Chemical
lhrha_lex	Chemical
flutamide_lex	Chemical
testosterone_lex	Chemical
dilated_cardiomyopathy_lex	Disease
amb_lex	Chemical
coccidioidomycosis_lex	Disease
posaconazole_lex	Chemical
quinine_lex	Chemical
nocturnal_leg_cramps_lex	Disease
organophosphate_lex	Chemical
neuropathological_damages_lex	Disease
organophosphorus_lex	Chemical
op_lex	Chemical
diisopropylfluorophosphate_lex	Chemical
dfp_lex	Chemical
sarin_lex	Chemical
soman_lex	Chemical
ops_lex	Chemical
